Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen
317;11;9;LucasHöler;Deutschland;21;3;0
318;11;7;FlorianNiederlechner;Deutschland;19;4;1
319;11;13;MarcoTerrazzino;Deutschland;12;0;0
320;11;34;TimKleindienst;Deutschland;6;0;1
321;17;1;MichaelRensing;Deutschland;25;0;1
322;17;16;JaroslavDrobny;Tschechien;3;0;0
323;17;30;RaphaelWolf;Deutschland;1;0;0
324;17;38;TimWiesner;Deutschland;0;0;0
325;17;25;MatthiasZimmermann;Deutschland;28;1;3
326;17;23;NikoGießelmann;Deutschland;27;0;4
327;17;5;KaanAyhan;Türkei;24;4;0
328;17;35;MarcinKaminski;Polen;22;0;1
329;17;39;JeanZimmer;Deutschland;20;1;4
330;17;13;AdamBodzek;Deutschland;16;0;0
331;17;32;RobinBormuth;Deutschland;9;0;0
332;17;3;AndreHoffmann;Deutschland;7;0;0
333;17;14;MarkusSuttner;Österreich;2;0;0
334;17;26;DiegoContento;Deutschland;1;0;0
335;17;24;GeorgiosSiadas;Griechenland;0;0;0
336;17;6;AlfredoMorales;Vereinigte Staaten;21;1;1
337;17;22;KevinStöger;Österreich;20;1;8
338;17;33;TakashiUsami;Japan;19;1;3
339;17;11;KenanKaraman;Türkei;17;1;1
340;17;7;OliverFink;Deutschland;14;2;0
341;17;31;MarcelSobottka;Deutschland;13;0;0
342;17;8;AymenBarkok;Deutschland;9;0;0
343;17;19;DavorLovren;Kroatien;2;0;0
344;17;40;KianzFroese;Kanada;0;0;0
345;17;20;DodiLukebakio;Unbekannt;27;12;4
346;17;28;RouwenHennings;Deutschland;26;5;3
347;17;9;BenitoRaman;Belgien;24;8;2
348;17;10;MarvinDucksch;Deutschland;18;4;1
349;17;27;DawidKownacki;Polen;5;2;1
350;17;21;EmirKujovic;Schweden;0;0;0
351;10;22;FlorianMüller;Deutschland;18;0;0
352;10;27;RobinZentner;Deutschland;10;0;0
353;10;1;ReneAdler;Deutschland;0;0;0
354;10;37;FinnDahmen;Deutschland;0;0;0
355;10;33;JannikHuth;Deutschland;0;0;0
356;10;3;AaronCaricol;Spanien;26;0;3
357;10;16;StefanBell;Deutschland;26;0;0
358;10;19;MoussaNiakhate;Frankreich;26;0;0
359;10;18;DanielBrosinski;Deutschland;24;2;5
360;10;42;AlexanderHack;Deutschland;9;1;2
361;10;23;PhilippMwene;Österreich;7;1;0
362;10;26;NikoBungert;Deutschland;4;0;0
363;10;2;GiulioDonati;Italien;4;0;0
364;10;24;GaetanBussmann;Frankreich;2;0;0
365;10;31;AhmetGurleyen;Deutschland;1;0;0
366;10;25;Jean-PhilippeGbamin;Elfenbeinküste;26;2;0
367;10;14;PierreKunde;Kamerun;24;0;0
368;10;6;DannyLatza;Deutschland;17;0;2
369;10;8;LevinÖztunali;Deutschland;13;0;1
370;10;34;RidleBaku;Deutschland;12;0;0
371;10;38;GerritHoltmann;Deutschland;5;0;0
372;10;35;LeandroMartins;Luxemburg;1;0;0
373;10;0;RidleBaku;Deutschland;0;0;0
374;10;9;JeanPhilippeMateta;Frankreich;28;7;1
375;10;7;RobinQuaison;Schweden;24;8;3
376;10;5;Jean-PaulBoetius;Niederlande;23;2;2
377;10;21;KarimOnisiwo;Österreich;20;4;0
378;10;20;AnthonyUjah;Nigeria;18;2;0
379;10;29;JonathanMichaelBurkardt;Deutschland;4;0;0
380;10;28;IssahAbass;Ghana;1;0;0
381;10;11;EmilBerggreen;Dänemark;0;0;0
382;13;1;AndreasLuthe;Deutschland;15;0;0
383;13;40;GregoryKobel;Schweiz;10;0;0
384;13;13;FabianGiefer;Deutschland;4;0;0
385;13;39;BenjaminLeneis;Deutschland;0;0;0
386;13;31;PhilippMax;Deutschland;27;2;4
387;13;6;JeffreyGouweleeuw;Niederlande;19;0;2
388;13;38;KevinDanso;Österreich;15;0;1
389;13;4;FelixGotze;Deutschland;9;1;0
390;13;32;RaphaelFramberger;Deutschland;8;0;0
391;13;5;ReeceOxford;England;5;0;0
392;13;18;Jan-IngwerCallsen-Bracker;Deutschland;1;0;0
393;13;16;ChristophJanker;Deutschland;1;0;0
394;13;15;JozoStanic;Kroatien;1;0;0
395;13;26;SimonAsta;Deutschland;0;0;0
396;13;25;KilianJakob;Deutschland;0;0;0
397;13;8;RaniKhedira;Deutschland;28;3;1
398;13;10;DanielBaier;Deutschland;27;0;0
399;13;17;JonathanSchmid;Frankreich;22;3;5
400;13;19;JaCheolKoo;Republik Korea (Südkorea);21;2;0
401;13;222;JiDongWon;Republik Korea (Südkorea);12;4;1
402;13;14;JanMoravek;Tschechien;10;0;1
403;13;28;GeorgTeigl;Österreich;3;0;0
404;13;24;FredrikJensen;Finnland;2;0;0
405;13;33;FelixSchwarzholz;Deutschland;0;0;0
406;13;11;MichaelGregoritsch;Österreich;27;5;1
407;13;28;AndreHahn;Deutschland;23;3;3
408;13;23;MarcoRichter;Deutschland;19;1;3
409;13;21;SergioCordova;Unbekannt;18;3;0
410;13;27;AlfredFinnbogason;Island;16;10;2
411;13;20;JulianSchieber;Deutschland;4;0;0
412;13;37;MauriceMalone;Deutschland;0;0;0
413;13;29;RomarioRoesch;Deutschland;0;0;0
414;14;1;RalfFährmann;Deutschland;25;0;0
415;14;35;AlexanderNübel;Deutschland;13;0;0
416;14;34;MichaelLanger;Österreich;0;0;0
417;14;30;YannicLenze;Deutschland;0;0;0
418;14;5;MatijaNastasic;Serbien;29;0;0
419;14;24;BastianOczipka;Deutschland;17;1;4
420;14;3;HamzaMendyl;Marokko;16;0;0
421;14;27;JeffreyBruma;Niederlande;9;0;0
422;14;27;SaschaRiether;Deutschland;0;0;0
423;14;26;SalifSane;Senegal;35;2;0
424;14;10;NabilBentaleb;Algerien;33;8;0
425;14;18;DanielCaligiuri;Italien;33;4;2
426;14;2;WestonMcKennie;Unbekannt;28;2;5
427;14;8;SuatSerdar;Deutschland;28;0;1
428;14;25;AmineHarit;Marokko;23;1;1
429;14;28;AlessandroSchöpf;Österreich;21;2;0
430;14;13;SebastianRudy;Deutschland;20;0;0
431;14;11;YevhenKonoplyanka;Ukraine;18;1;2
432;14;17;BenjaminStambouli;Frankreich;18;0;0
433;14;15;AhmedKutucu;Türkei;12;3;0
434;14;6;OmarMascarell;Äquatorialguinea;11;0;1
435;14;39;BenjaminGoller;Deutschland;1;0;0
436;14;7;MarkUth;Deutschland;27;4;2
437;14;19;GuidoBurgstaller;Österreich;26;3;1
438;14;36;BreelEmbolo;Schweiz;19;5;0
439;14;22;StevenSkrzybski;Deutschland;15;3;1
440;14;23;CedricTeuchert;Deutschland;8;0;0
441;14;14;RabbiMatondo;Wales;4;0;0
442;18;1;Ron-RobertZieler;Deutschland;27;0;0
443;18;13;JensGrahl;Deutschland;0;0;0
444;18;26;AlexanderMeyer;Deutschland;0;0;0
445;18;2;EmilianoInsua;Argentinien;22;2;2
446;18;21;BenjaminPavard;Frankreich;21;0;0
447;18;32;AndreasBeck;Deutschland;19;0;2
448;18;5;TimoBaumgartl;Deutschland;17;1;0
449;18;4;MarcKempf;Deutschland;16;2;0
450;18;3;DennisAogo;Deutschland;11;0;0
451;18;28;HolgerBadstuber;Deutschland;9;0;0
452;18;7;PabloMaffeo;Spanien;9;0;0
453;18;18;OzanKabak;Türkei;8;2;0
454;18;24;BornaSosa;Kroatien;8;0;0
455;18;23;AntonisAidonis;Deutschland;2;0;0
456;18;20;ChristianGentner;Deutschland;26;0;4
457;18;6;SantiagoAscacibar;Argentinien;25;0;0
458;18;8;GonzaloCastro;Deutschland;19;1;4
459;18;17;ErikThommy;Deutschland;19;1;1
460;18;19;ChadracAkolo;Unbekannt;14;0;1
461;18;10;DanielDidavi;Deutschland;13;1;1
462;18;9;StevenZuber;Schweiz;9;5;1
463;18;14;AlexanderEsswein;Deutschland;9;0;0
464;18;29;DavidKopacz;Polen;0;0;0
465;18;27;MarioGomez;Deutschland;25;6;2
